rotten_tomatoes_link,movie_title,content_rating,genre,directors,original_release_date,streaming_release_date,runtime,production_company,audience_rating,audience_count
m/10010785-grace,Grace,R,DRAMA,Paul Solet,2009-08-14,2017-03-26,94,Anchor Bay Entertainment,31,10269
m/10010787-endgame,Endgame,PG-13,DRAMA,Pete Travis,2009-11-06,2015-03-19,109,Monterey Media,57,662
m/10010789-red_baron,The Red Baron (Der rote Baron),PG-13,ACTION & ADVENTURE,Nikolai Muellerschoen,2008-03-31,2014-08-20,106,Monterey Media,43,11070
m/10010919-objective,The Objective,NR,ACTION & ADVENTURE,Daniel Myrick,2008-04-24,2016-04-28,90,IFC Films,32,3690
m/10010940-happy_tears,Happy Tears,R,COMEDY,Mitchell Lichtenstein,2010-02-19,2016-08-10,96,Roadside Attractions,21,1551
m/10010944-missing_person,The Missing Person,NR,COMEDY,Noah Buschel,2009-11-20,2016-08-10,95,Strand Releasing,44,6767
m/10010957-polanski_unauthorized,Polanski (Polanski Unauthorized),NR,DRAMA,Damian Chapa,2009-01-09,2016-12-12,89,Walking Shadows,38,231
m/10010972-mammoth,Mammoth (Mammut),R,DRAMA,Lukas Moodysson,2009-11-20,2016-11-18,125,IFC Films,63,7007
m/10011016-messenger,The Messenger,R,DRAMA,Oren Moverman,2009-11-13,2017-03-08,112,Oscilloscope Pictures,75,21592
m/10011050-lake_mungo,Lake Mungo,R,HORROR,Joel Anderson,2009-02-07,2016-08-10,89,After Dark Films,62,2856
m/10011079-country_teacher,Venkovský Ucitel (The Country Teacher),NR,DRAMA,Bohdan Sláma,2008-03-20,2016-09-22,115,Film Movement,72,1723
m/1001115-apartment,The Apartment,NR,COMEDY,Billy Wilder,1960-06-15,2016-03-29,125,United Artists,94,38188
m/10011154-golden_boys,Chatham (The Golden Boys),PG,COMEDY,Daniel Adams,2009-04-17,2016-11-18,97,Roadside Attractions,22,801
m/1001117-ape,The Ape,NR,DRAMA,William Nigh,1940-09-30,2015-08-07,62,Monogram,12,510
m/10011235-fame,Fame,PG,DRAMA,Kevin Tancharoen,2009-09-25,2016-02-25,107,MGM,36,194974
m/10011284-skin,Skin,PG-13,DRAMA,Anthony Fabian,2009-10-30,2016-03-22,107,Elysian Films,79,2118
m/10011303-helen,Helen,PG,DRAMA,"Christine Molloy, Joe Lawlor (II)",2008-05-01,2016-09-30,79,New Wave Films,36,172
m/10011304-thirst,Bakjwi (Thirst),R,DRAMA,Park Chan-wook,2009-04-30,2016-04-19,133,Focus Features,75,19477
m/10011335-vengeance,Vengeance (Fuk sau),R,ACTION & ADVENTURE,Johnnie To,2010-08-04,2017-02-07,108,IFC Films,60,1881
m/1001138-april_fools_day,April Fool's Day,R,HORROR,Fred Walton,1986-03-27,2013-08-01,89,Paramount Pictures,47,13437
m/10011388-blood_the_last_vampire,Blood: The Last Vampire,R,ACTION & ADVENTURE,Chris Nahon,2009-07-10,2014-02-12,89,Samuel Goldwyn Films,33,94562
m/10011435-shrink,Shrink,R,COMEDY,Jonas Pate,2009-07-24,2016-05-10,104,Roadside Attractions,50,42784
m/10011457-ong_bak_2_2009,Ong Bak 2,R,ACTION & ADVENTURE,"Panna Rittikrai, Prachya Pinkaew, Tony Jaa",2009-10-23,2016-08-10,97,Magnolia Pictures,53,21197
m/10011494-last_ride,Last Ride,PG-13,DRAMA,Glendyn Ivin,2012-06-29,2016-08-10,100,Music Box Films,65,3560
m/10011582-TRON_legacy,Tron Legacy,PG,ACTION & ADVENTURE,Joseph Kosinski,2010-12-17,2015-11-23,125,Walt Disney Pictures,63,171610
m/10011647-canyon,The Canyon,R,DRAMA,Richard Harrah,2009-10-23,2013-11-27,102,Magnolia Pictures,32,613
m/10011699-leslie_my_name_is_evil,"Manson, My Name Is Evil",R,COMEDY,Reginald Harkema,2009-09-14,2017-01-06,85,E1 Entertainment,27,2341
m/10011721-broken_hill,Broken Hill,PG,DRAMA,Dagen Merrill,2009-09-11,2016-11-22,102,Audience Alliance,61,310
m/10011735-beautiful_life,A Beautiful Life,NR,DRAMA,Alejandro Chomski,2009-10-02,2019-05-17,81,New Films International,24,147
m/10011736-suck,Suck,R,COMEDY,Rob Stefaniuk,2010-08-02,2016-08-10,91,Independent Films,53,1880
m/10011774-chloe,Chloe,R,DRAMA,Atom Egoyan,2010-03-26,2012-04-16,96,Sony Pictures Classics,39,30602
m/1001180-armed_and_dangerous,Armed and Dangerous,PG-13,COMEDY,Mark L. Lester,1986-08-15,2012-04-16,88,Sony Pictures Home Entertainment,39,9340
m/10011815-hole,The Hole,PG-13,SCIENCE FICTION & FANTASY,Joe Dante,2012-09-28,2016-08-08,92,Hole LLC.,46,14727
m/10011846-nobodys_perfect,NoBody's Perfect,NR,DRAMA,Niko von Glasow,2008-09-08,2016-09-01,84,Lorber Films,87,85
m/10011854-good_soldier,The Good Soldier,NR,DRAMA,"Michael Uys, Lexy Lovell",2009-10-09,2016-12-09,79,Artistic License,80,130
m/10011857-high_life,High Life,R,COMEDY,Gary Yates,2009-09-15,2016-12-15,80,Union Pictures,43,631
m/1001193-around_the_world_in_80_days,Around the World in 80 Days,G,ACTION & ADVENTURE,Michael Anderson,1956-10-17,2017-03-29,170,United Artists,57,33440
m/10011943-fall,The Fall,R,DRAMA,John Krueger,2009-10-30,2016-09-22,115,Dangerous Wounded Animals,,
m/10011944-good_heart,The Good Heart,R,DRAMA,Dagur Kári,2010-04-30,2017-01-08,98,Magnolia Pictures,58,1590
m/10011946-wonderful_world,Wonderful World,R,DRAMA,Joshua Goldin,2010-01-08,2016-01-15,95,Magnolia Pictures,33,1741
m/10011950-three_blind_mice,Three Blind Mice,PG,COMEDY,Matthew Newton,,2017-04-10,94,IFC Films,50,229
m/10011984-last_song,The Last Song,PG,DRAMA,Julie Ann Robinson,2010-03-31,2016-08-10,108,Walt Disney Studios,66,160802
m/10012039-lottery_ticket,Lottery Ticket,PG-13,COMEDY,Erik White,2010-08-20,2012-04-16,95,Warner Bros. Pictures,44,29996
m/10012042-going_the_distance,Going the Distance,R,COMEDY,Nanette Burstein,2010-09-03,2012-09-01,98,New Line Cinema,52,57438
m/10012044-life_as_we_know_it,Life as We Know It,PG-13,COMEDY,"Gary Berlanti, Greg Berlanti",2010-10-08,2013-06-01,113,Warner Bros. Pictures,61,82457
m/10012050-final,The Final,R,DRAMA,Joey Stewart,2010-01-29,2016-10-30,,After Dark Films,32,1088
m/10012051-frozen,Frozen,R,DRAMA,Adam Green,2010-02-05,2016-11-30,93,Anchor Bay,46,20649
m/10012063-ghost_writer,The Ghost Writer,PG-13,DRAMA,"Hervé de Luze, Roman Polanski",2010-02-19,2016-08-26,129,Summit Entertainment,70,60373
m/10012068-repo_men,Repo Men,R,ACTION & ADVENTURE,Miguel Sapochnik,2010-03-19,2014-02-12,111,Universal Studios,41,100490
m/10012104-7_days,7 Days (Les 7 jours du talion),R,HORROR,Daniel Grou,2010-02-05,2017-03-29,105,Sundance Selects,68,1474
m/10012114-daddy_longlegs,Daddy Longlegs,NR,COMEDY,"Benny Safdie, Josh Safdie",2010-05-14,,,IFC Films,52,542
m/10012133-veer,Veer,NR,DRAMA,Anil Sharma,2010-01-22,2017-03-07,156,Eros Entertainment,47,1151
m/10012136-winters_bone,Winter's Bone,R,DRAMA,Debra Granik,2010-06-11,2015-12-19,99,Roadside Attractions,76,51756
m/10012141-kids_are_all_right,The Kids Are All Right,R,COMEDY,Lisa Cholodenko,2010-07-09,2015-12-01,104,Focus Features,74,63588
m/10012150-high_school,High School,R,COMEDY,"John Stalberg, Jr.",2012-06-01,2017-03-02,99,Anchor Bay Entertainment,48,8211
m/10012207-stolen,Stolen,R,DRAMA,Anders Anderson,2010-03-05,2016-04-28,97,IFC Films,39,2695
m/10012232-killing_jar,The Killing Jar,R,DRAMA,Mark Young,2010-03-19,2017-05-22,90,Image Entertianment,36,589
m/10012254-la_mission,La MISSION,R,DRAMA,Peter Bratt,2010-04-09,2017-03-23,117,Screen Media Ventures,72,5867
m/10012256-predators,Predators,R,ACTION & ADVENTURE,Nimród Antal,2010-07-09,2015-11-25,107,20th Century Fox,52,159887
m/10012288-wild_hunt,The Wild Hunt,NR,DRAMA,Alexandre Franchi,2010-09-17,2012-05-18,96,Hannover House,74,711
m/1001240-arthur,Arthur,PG,COMEDY,Steve Gordon,1981-07-17,2008-08-15,97,Orion Pictures Corporation,77,33549
m/1001280-assault_on_precinct_13,Assault on Precinct 13,R,ACTION & ADVENTURE,John Carpenter,1976-11-05,2016-08-16,91,Turtle Releasing,80,24667
m/1001294-asylum,Asylum,PG,HORROR,Peter Robinson,1972-11-17,2016-09-06,88,Cinerama Releasing Corporation,48,303
m/1001323-attack_of_the_50_foot_woman,Attack of the 50 Foot Woman,PG,SCIENCE FICTION & FANTASY,Nathan Juran,1958-01-01,2015-11-01,66,Allied Artists Pictures,20,8585
m/1001406-avenging_angel,Avenging Angel,R,ACTION & ADVENTURE,Robert Vincent O'Neil,,2015-01-06,93,Starmaker Entertainment,25,1544
m/1001425-aviator,The Aviator,PG,ACTION & ADVENTURE,George T. Miller,1985-03-01,2017-01-17,98,Twentieth Century Fox Home Entertainment,41,239
m/1001428-awakening,The Awakening,R,HORROR,Mike Newell,1980-10-01,2008-01-01,102,WARNER BROTHERS PICTURES,22,421
m/1001488-babes_in_toyland,Babes in Toyland,G,SCIENCE FICTION & FANTASY,Jack Donohue,1961-12-14,2016-03-02,106,Buena Vista,59,10335
m/1001553-bad_company,Bad Company,PG,ACTION & ADVENTURE,Robert Benton,1972-10-08,2013-08-01,93,Paramount Pictures,71,2298
m/1001567-bad_news_bears,The Bad News Bears,PG,COMEDY,Michael Ritchie,1976-04-07,2013-08-01,102,Paramount Pictures,80,40382
m/1001572-bad_seed,The Bad Seed,NR,DRAMA,Mervyn LeRoy,1956-09-12,2016-04-19,129,WARNER BROTHERS PICTURES,83,8639
m/1001634-bang_the_drum_slowly,Bang The Drum Slowly,PG,COMEDY,"John D. Hancock, John Hancock",1973-01-01,2018-08-24,96,Paramount Pictures,62,3796
m/1001816-battleground,Battleground,NR,ACTION & ADVENTURE,William Wellman,1949-11-09,2008-08-18,118,MGM,82,2737
m/1001902-beauty_and_the_beast,Beauty and The Beast (La Belle et la bête),NR,DRAMA,Jean Cocteau,1946-01-01,2017-01-14,95,Lopert Pictures,90,22615
m/1001994-belles_of_st_trinians,The Belles of St. Trinian's,NR,ACTION & ADVENTURE,Frank Launder,,2020-04-07,91,Associated Artists,70,1293
m/1001_grams,1001 Grams,NR,DRAMA,Bent Hamer,2015-05-08,2016-10-06,93,Kino Lorber,48,267
m/1002178-best_of_times,The Best of Times,PG-13,COMEDY,Roger Spottiswoode,1986-01-31,2017-03-10,104,Sultan Entertainment,43,6519
m/1002205-betrayed,Betrayed,R,ACTION & ADVENTURE,"Betsy Blair, Debra Winger, John Heard, John Mahoney, Ted Levine, Tom Berenger, Costa-Gavras",1988-08-26,2016-11-30,127,MGM Home Entertainment,52,739
m/1002306-big_brawl,The Big Brawl (Battle Creek Brawl),R,ACTION & ADVENTURE,Robert Clouse,1980-09-10,2016-07-06,95,Golden Harvest Company,44,5475
m/1002310-big_business,Big Business,PG,COMEDY,Jim Abrahams,1988-06-10,2016-03-02,97,,69,20086
m/1002332-big_heat,The Big Heat,PG,DRAMA,Fritz Lang,,2014-04-25,90,Columbia Pictures,90,5964
m/1002352-big_sleep,The Big Sleep,PG,DRAMA,Howard Hawks,1946-08-31,2015-09-11,114,Warner Bros. Pictures,91,33511
m/1002353-big_sleep,The Big Sleep,R,DRAMA,Michael Winner,,2017-03-10,99,United Artists,26,1464
m/1002407-billy_budd,Billy Budd,NR,ACTION & ADVENTURE,Peter Ustinov,1962-11-12,2017-05-22,123,Allied Artists Pictures,86,7
m/1002448-birds,The Birds,PG-13,HORROR,Alfred Hitchcock,1963-03-28,2014-10-01,119,Universal Pictures,83,176580
m/1002484-black_christmas,Black Christmas,R,HORROR,Bob Clark,1974-12-20,2016-12-13,98,Warner Bros. Pictures,75,23059
m/1002497-black_hole,The Black Hole,PG,ACTION & ADVENTURE,Gary Nelson,1979-01-01,2016-05-10,97,Walt Disney Productions,45,9807
m/1002511-black_pirate,The Black Pirate,NR,ACTION & ADVENTURE,Albert Parker,1926-03-08,2016-08-11,85,United Artists,68,1416
m/1002512-black_rain,Black Rain,R,ACTION & ADVENTURE,Ridley Scott,,2013-08-01,125,Paramount Home Video,55,27792
m/1002526-black_sunday,Black Sunday,R,ACTION & ADVENTURE,John Frankenheimer,1977-03-11,2016-08-10,143,Anchor Bay Entertainment,64,3906
m/1002531-black_widow,Black Widow,R,DRAMA,Bob Rafelson,1987-02-06,2016-08-10,102,Twentieth Century Fox Home Entertainment,40,3803
m/1002540-blackmail,Blackmail,NR,DRAMA,Alfred Hitchcock,1929-10-06,2016-11-30,86,Scott Entertainment,65,4731
m/1002571-blind_date,Blind Date,PG-13,COMEDY,Blake Edwards,1987-03-27,2012-04-16,93,Tri-Star Pictures,42,18540
m/1002598-blood_and_sand,Blood and Sand,NR,DRAMA,Rouben Mamoulian,1941-05-22,2014-04-06,120,20th Century Fox,67,636
m/1002611-blood_feast,Blood Feast,NR,HORROR,Herschell Gordon Lewis,1963-01-01,2018-08-25,58,Box Office Spectaculars,44,6249
m/1002681-blue_angel,Der Blaue Engel (The Blue Angel),NR,DRAMA,Josef von Sternberg,1930-04-01,2017-02-06,94,Universum Film Gmbh,87,5696
m/1002732-bluebeard,Bluebeard,G,DRAMA,Edgar G. Ulmer,1944-11-11,2017-06-07,73,PRC Pictures Inc.,38,800
m/1002907-border,The Border,R,ACTION & ADVENTURE,Tony Richardson,1982-01-29,2016-08-10,107,Universal Pictures,53,3285
m/1002930-born_yesterday,Born Yesterday,NR,COMEDY,George Cukor,1950-12-26,2013-01-01,103,Columbia Pictures,86,4780
m/1002939-boston_strangler,The Boston Strangler,R,DRAMA,Richard Fleischer,1968-10-16,2012-09-18,116,20th Century Fox Film Corp.,78,58
m/1002947-bounty,The Bounty,PG,ACTION & ADVENTURE,Roger Donaldson,1984-05-04,2016-08-29,132,MGM,72,10345
m/1002993-boys_from_brazil,The Boys from Brazil,R,ACTION & ADVENTURE,Franklin J. Schaffner,1978-10-05,2016-08-10,123,20th Century Fox Film Corporation,66,7692
m/1003017-brainstorm,Brainstorm,PG,SCIENCE FICTION & FANTASY,Douglas Trumbull,1983-09-30,2009-06-22,106,MGM Home Entertainment,56,6880
m/1003060-breakout,Breakout,PG,ACTION & ADVENTURE,Tom Gries,,2012-04-16,96,Sony Pictures Entertainment,41,1949
m/1003075-brewsters_millions,Brewster's Millions,PG,COMEDY,Walter Hill,1985-05-22,2015-05-08,97,MCA Universal Home Video,55,38516
m/1003076-brians_song,Brian's Song,G,DRAMA,Buzz Kulik,1970-05-01,2013-04-27,74,Sony Pictures Home Entertainment,82,9103
m/1003094-brief_encounter,Brief Encounter,NR,DRAMA,David Lean,1945-11-26,2016-11-18,86,Universal Pictures,91,11170
m/1003119-broken_arrow,Broken Arrow,G,ACTION & ADVENTURE,Delmer Daves,1950-07-21,2015-11-25,93,Twentieth Century Fox Home Entertainment,70,1025
m/1003120-broken_blossoms,Broken Blossoms,NR,DRAMA,D.W. Griffith,1919-05-13,2016-08-11,87,Kino on Video,71,3802
m/1003136-brotherhood,The Brotherhood,PG-13,ACTION & ADVENTURE,Martin Ritt,1968-01-01,2016-03-22,98,Paramount Pictures,25,1013
m/1003217-bug,Bug,PG,HORROR,Jeannot Szwarc,1975-06-01,2014-06-06,100,Paramount Pictures,25,2000
m/1003276-burglar,Burglar,R,COMEDY,Hugh Wilson,1987-03-20,2009-01-02,102,Warner Home Video,39,6731
m/1003296-bus_stop,Bus Stop,G,COMEDY,Joshua Logan,1956-01-01,2015-11-05,96,20th Century Fox Film Corporation,62,7934
m/1003318-butch_cassidy_and_the_sundance_kid,Butch Cassidy and the Sundance Kid,PG,ACTION & ADVENTURE,George Roy Hill,1969-10-24,2015-11-25,110,20th Century Fox,92,71183
m/1003339-bye_bye_birdie,Bye Bye Birdie,G,COMEDY,George Sidney,1963-04-04,2012-04-16,112,Columbia Pictures,66,10175
m/1003399-calamity_jane,Calamity Jane,G,COMEDY,David Butler,1953-11-04,2012-10-23,101,WARNER BROTHERS PICTURES,87,20693
m/1003436-camelot,Camelot,G,ACTION & ADVENTURE,"Joshua Logan, Moss Hart",1967-10-25,2016-04-19,179,Warner Home Video,69,8354
m/1003441-camille,Camille,NR,DRAMA,George Cukor,1936-01-01,2016-10-11,108,MGM Home Entertainment,83,4354
m/1003492-cape_fear,Cape Fear,NR,DRAMA,J. Lee Thompson,1962-04-18,2015-08-21,105,Universal International Pictur,86,17735
m/1003499-captain_blood,Captain Blood,NR,ACTION & ADVENTURE,Michael Curtiz,1935-12-28,2008-01-01,119,Twentieth Century Fox Home Entertainment,89,8194
m/1003531-captains_courageous,Captains Courageous,PG,ACTION & ADVENTURE,Victor Fleming,1937-06-25,2016-11-21,117,MGM Home Entertainment,89,3811
m/1003612-carnival_of_souls,Carnival of Souls,R,COMEDY,Herk Harvey,1962-09-26,2012-10-13,80,Herts-Lion International Corp.,73,9478
m/1003617-carny,Carny,R,DRAMA,Robert Kaylor,1980-06-13,2017-01-25,107,United Artists,52,712
m/1003625-carrie,Carrie,R,HORROR,Brian DePalma,1976-11-16,2015-08-27,98,United Artists,77,353052
m/1003707-casablanca,Casablanca,PG,DRAMA,Michael Curtiz,1942-11-26,2008-08-15,102,Warner Bros. Pictures,95,357518
m/1003722-casino_royale,Casino Royale,G,ACTION & ADVENTURE,"Richard Talmadge, Kenneth Hughes, John Huston, Joseph McGrath, Robert Parrish, Val Guest, Ken Hughes",1967-04-27,2016-03-08,131,Columbia Pictures,34,33192
m/1003747-cat_and_the_canary,The Cat and the Canary,NR,HORROR,Paul Leni,1927-09-09,2017-02-08,75,Universal Pictures,74,1155
m/1003755-cat_on_a_hot_tin_roof,Cat on a Hot Tin Roof,PG,DRAMA,Richard Brooks,1958-09-20,,,MGM Home Entertainment,92,31748
m/1003757-cat_people,Cat People,R,DRAMA,Jacques Tourneur,1942-12-06,2016-11-17,73,RKO Pictures,73,7786
m/1003758-cat_people,Cat People,R,DRAMA,Paul Schrader,1982-04-02,2015-09-11,118,Universal Pictures,46,10352
m/1003780-caught,Caught,NR,DRAMA,Max Ophüls,1949-01-01,2014-07-08,88,MGM,78,515
m/1003854-champ,The Champ,PG,DRAMA,Franco Zeffirelli,1979-03-20,2016-04-09,122,MGM Home Entertainment,82,7711
m/1003857-champion,Champion,NR,DRAMA,Mark Robson,1949-01-01,2013-08-02,99,United Artists,74,734
m/1003883-charade,Charade,G,COMEDY,Stanley Donen,1963-12-05,2015-05-08,114,Madacy Entertainment,92,42886
m/1003957-chase,The Chase,NR,DRAMA,Arthur Penn,1966-02-17,2012-11-01,135,Columbia Pictures,74,2775
m/1003972-checking_out,Checking Out,R,COMEDY,David Leland,1989-04-21,2017-05-22,95,HandMade Films,18,129
m/1004047-children_of_the_corn,Children of the Corn,R,HORROR,Fritz Kiersch,1984-01-01,2016-11-01,93,New World Pictures,40,84960
m/1004110-chosen,The Chosen,PG,DRAMA,Jeremy Kagan,1981-08-01,2019-10-20,108,Westchester Films,79,895
m/1004125-christmas_carol,A Christmas Carol,G,DRAMA,Edwin L. Marin,1938-12-16,2008-12-19,69,MGM,74,56572
m/1004141-christmas_in_connecticut,Christmas in Connecticut,G,COMEDY,Peter Godfrey,1945-01-01,2016-11-18,101,Warner Bros. Pictures,75,3731
m/1004151-christmas_story,A Christmas Story,PG,COMEDY,Bob Clark,1983-11-18,2014-07-24,93,MGM,88,285828
m/1004177-cimarron,Cimarron,NR,DRAMA,Wesley Ruggles,1931-01-26,2017-01-08,131,MGM Home Entertainment,25,1514
m/1004330-cleopatra,Cleopatra,G,DRAMA,Joseph L. Mankiewicz,1963-06-12,2012-09-18,243,20th Century Fox,69,20541
m/1004463-college,College,NR,COMEDY,James W. Horne,1927-09-10,2016-07-01,65,United Artists,73,2356
m/1004485-colors,Colors,R,ACTION & ADVENTURE,Dennis Hopper,1988-04-15,2015-09-20,120,Orion Home Video,72,28445
m/1004502-coma,Coma,PG,ACTION & ADVENTURE,Michael Crichton,1978-01-06,2013-11-27,113,WARNER BROTHERS PICTURES,66,7692
m/1004567-commando,Commando,R,ACTION & ADVENTURE,Mark L. Lester,1985-10-04,2015-11-25,90,20th Century Fox,67,138190
m/1004703-convoy,Convoy,PG,ACTION & ADVENTURE,Sam Peckinpah,1978-06-28,2016-11-30,110,Lionsgate,73,9476
m/1004790-countdown,Countdown,NR,ACTION & ADVENTURE,Robert Altman,1968-02-01,2013-12-03,101,Unknown,27,252
m/1004798-country_girl,The Country Girl,NR,DRAMA,George Seaton,1954-12-15,2016-08-03,104,Paramount Pictures,77,3106
m/1004832-cover_girl,Cover Girl,NR,COMEDY,Charles Vidor,1944-03-30,2012-04-16,107,Sony Pictures Home Entertainment,70,3774
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,G,HORROR,Jack Arnold,1954-03-05,2015-09-11,79,Universal Pictures,73,23626
m/1004995-crossroads,Crossroads,R,DRAMA,Walter Hill,1986-03-14,2012-04-16,98,Sony Pictures Home Entertainment,82,10497
m/1005090-cutting_class,Cutting Class,R,COMEDY,Rospo Pallenberg,1989-07-01,2019-09-01,90,FEARnet,22,3807
m/1005152-damn_yankees,Damn Yankees,NR,COMEDY,"George Abbott, Stanley Donen",1958-09-26,2019-05-31,110,Warner Home Video,69,2832
m/1005194-dangerous,Dangerous,G,DRAMA,Alfred E. Green,1935-01-01,2012-04-16,78,MGM Home Entertainment,61,694
m/1005199-dangerous_liaisons,Dangerous Liaisons,R,DRAMA,Stephen Frears,1988-01-01,2008-05-01,120,Warner Home Video,83,46589
m/1005242-dark_mirror,The Dark Mirror,NR,DRAMA,Robert Siodmak,1946-10-18,2017-03-10,85,Universal,56,318
m/1005279-darling,Darling,NR,COMEDY,John Schlesinger,1965-01-01,2014-09-02,128,Lionsgate,71,2184
m/1005360-day_of_the_dead,Day of the Dead,R,HORROR,George A. Romero,1985-07-03,2016-06-18,102,United Film Distribution Compa,75,64544
m/1005371-day_the_earth_stood_still,The Day the Earth Stood Still,G,DRAMA,Robert Wise,1951-01-01,2012-09-18,92,20th Century Fox,87,34260
m/1005381-days_of_wine_and_roses,Days of Wine and Roses,NR,DRAMA,Blake Edwards,1962-12-26,2013-11-27,117,WARNER BROTHERS PICTURES,88,2553
m/1005399-dead_heat,Dead Heat,R,ACTION & ADVENTURE,Mark Goldblatt,1988-05-06,2016-08-10,88,LionsGate Entertainment,49,6206
m/1005412-dead_reckoning,Dead Reckoning,NR,DRAMA,John Cromwell,1947-01-01,2012-04-16,100,Sony Pictures Home Entertainment,66,2006
m/1005512-death_in_venice,Death in Venice,PG,DRAMA,Luchino Visconti,1971-03-01,2008-01-01,130,WARNER BROTHERS PICTURES,81,6409
m/1005521-death_of_a_salesman,Death of a Salesman,PG,DRAMA,"Volker Schlöndorff, V. Schlöndorff",1985-09-15,2016-11-15,135,Anchor Bay Entertainment,75,4590
m/1005656-demons,Dèmoni (Demons),R,HORROR,Lamberto Bava,1985-10-04,2016-08-10,90,Ascot Films,65,10395
m/1005724-desperate_hours,The Desperate Hours,NR,DRAMA,William Wyler,1955-01-01,2017-01-01,112,Paramount Pictures,79,2792
m/1005762-devil_doll,Devil Doll,NR,HORROR,Tod Browning,1964-01-01,2019-10-21,80,MGM Home Entertainment,28,536
m/1005865-dillinger,Dillinger,R,ACTION & ADVENTURE,John Milius,1973-07-20,2017-01-09,107,American International Pictures,73,2526
m/1005875-dinner_at_eight,Dinner at Eight,NR,COMEDY,George Cukor,1933-08-23,2009-01-01,113,WARNER BROTHERS PICTURES,74,2830
m/1005967-distant_thunder,Distant Thunder,R,DRAMA,Rick Rosenthal,1988-11-11,2016-08-10,114,Paramount Home Video,45,345
m/1006037-doctor_zhivago,Doctor Zhivago,PG-13,DRAMA,David Lean,1965-12-22,2016-05-19,197,MGM,88,45777
m/1006042-dodge_city,Dodge City,NR,WESTERN,Michael Curtiz,1939-04-08,2012-04-16,104,WARNER BROTHERS PICTURES,74,2620
m/1006068-dolls,Dolls,R,HORROR,Stuart Gordon,1987-03-01,2016-11-30,77,Empire Pictures,51,8252
m/1006207-dr_jekyll_and_mr_hyde,Dr. Jekyll and Mr. Hyde,NR,DRAMA,Rouben Mamoulian,1931-12-31,2016-01-30,97,Paramount Pictures,80,5650
m/1006223-how_the_grinch_stole_christmas,How the Grinch Stole Christmas,NR,COMEDY,"Chuck Jones, Ben Washam",1967-06-01,2018-09-24,,Warner Home Video,98,93
m/1006234-dracula,Dracula,NR,HORROR,Tod Browning,1931-01-01,2014-02-12,75,Universal Pictures,81,44775
m/1006235-dracula,Dracula,R,HORROR,Dan Curtis,1973-02-08,2016-07-23,97,MPI Home Video,43,1284
m/1006236-dracula,Dracula,R,DRAMA,John Badham,1979-07-20,2014-02-12,109,Universal Studios,58,9776
m/1006250-dragnet,Dragnet,PG-13,ACTION & ADVENTURE,Tom Mankiewicz,,2016-02-10,106,MCA Universal Home Video,41,35175
m/1006287-dream_team,The Dream Team,PG-13,COMEDY,Howard Zieff,1989-04-07,2016-01-24,113,MCA Universal Home Video,61,8275
m/1006299-dressed_to_kill,Dressed to Kill,R,DRAMA,Brian DePalma,1980-01-01,2016-11-01,105,MGM,74,10587
m/1006364-dune,Dune,PG-13,SCIENCE FICTION & FANTASY,David Lynch,1984-12-14,2014-10-01,137,MCA Universal Home Video,66,70912
m/1006392-eagle_has_landed,The Eagle Has Landed,PG,ACTION & ADVENTURE,John Sturges,,2017-03-07,123,Columbia Pictures,67,7558
m/1006416-east_of_eden,East of Eden,PG,DRAMA,Elia Kazan,1955-04-10,2007-12-31,115,Warner Bros. Pictures,90,23523
m/1006425-easy_money,Easy Money,R,ACTION & ADVENTURE,James Signorelli,1983-08-19,2016-11-01,95,Vestron Video,58,5634
m/1006438-eaten_alive,Eaten Alive,R,HORROR,Tobe Hooper,1977-06-30,2017-01-25,90,Virgo International,30,3386
m/1006476-oedipus_rex,Edipo re (Oedipus Rex),NR,DRAMA,Pier Paolo Pasolini,1967-09-07,2016-10-11,110,Water Bearer Films,77,1873
m/1006527-elephant_man,The Elephant Man,PG,DRAMA,David Lynch,1980-10-03,2013-08-01,125,Paramount,93,64544
m/1006646-enforcer,The Enforcer,R,ACTION & ADVENTURE,"James Fargo, Allen E. Smith",1976-01-01,2016-05-23,96,Warner Bros. Pictures,59,16007
m/1006648-enforcer,The Enforcer,NR,DRAMA,"Raoul Walsh, Bretaigne Windust",1951-02-24,2017-03-23,87,Republic Pictures Home Video,70,1293
m/1006717-escape_from_new_york,Escape from New York,R,ACTION & ADVENTURE,John Carpenter,1981-01-01,2016-05-23,100,MGM Home Entertainment,77,72708
m/1006872-exodus,Exodus,G,DRAMA,Otto Preminger,1960-12-15,2018-01-04,207,United Artists,69,4255
m/1006917-eyewitness,Eyewitness,R,HORROR,Peter Yates,1981-02-13,2017-03-01,103,Twentieth Century Fox Home Entertainment,38,1863
m/1007003-fahrenheit_451,Fahrenheit 451,NR,SCIENCE FICTION & FANTASY,François Truffaut,1966-11-02,2014-10-01,112,Universal Pictures,72,25738
m/1007070-fan,The Fan,R,DRAMA,Edward Bianchi,1981-05-15,2016-04-19,95,Paramount Home Video,32,1132
m/1007073-fandango,Fandango,PG,COMEDY,Kevin Reynolds,1985-01-25,2016-03-27,91,Warner Home Video,78,5733
m/1007105-far_from_the_madding_crowd,Far From the Madding Crowd,PG,DRAMA,John Schlesinger,1967-10-18,2014-01-26,169,MGM Home Entertainment,76,1081
